"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Ptp4a3"	1.18875819242254e-219	-1.10964859717541	0.506	0.685	2.37751638484507e-216	"0"	"Ptp4a3"
"Tnmd"	1.45713578342015e-183	-0.576522984141827	0.164	0.27	2.9142715668403e-180	"0"	"Tnmd"
"Has1"	9.53019499785211e-182	-0.543386576972205	0.164	0.256	1.90603899957042e-178	"0"	"Has1"
"Aspn"	2.90697921624175e-179	-0.696781865090011	0.294	0.452	5.8139584324835e-176	"0"	"Aspn"
"Tyrobp"	3.17949202114389e-177	-0.774867603524612	0.551	0.233	6.35898404228779e-174	"0"	"Tyrobp"
"Ndufa4"	1.79386293921731e-166	-0.928569949663815	0.879	0.877	3.58772587843462e-163	"0"	"Ndufa4"
"Hspb1"	3.54163753784058e-150	-0.633175946368988	0.484	0.705	7.08327507568116e-147	"0"	"Hspb1"
"Cox7c"	1.41894121399536e-148	-0.914080424608332	0.929	0.909	2.83788242799073e-145	"0"	"Cox7c"
"Kcnj8"	1.13725527290123e-147	-0.538445699019499	0.611	0.307	2.27451054580246e-144	"0"	"Kcnj8"
"Hba-a2"	2.2328262102788e-140	-1.24123933593052	0.662	0.39	4.46565242055761e-137	"0"	"Hba-a2"
"Atp5e"	6.1181218378839e-139	-1.04775565981536	0.907	0.877	1.22362436757678e-135	"0"	"Atp5e"
"Cox5a"	1.52216873036134e-135	-1.19864355036677	0.757	0.77	3.04433746072268e-132	"0"	"Cox5a"
"Uqcr11"	9.72302403689745e-134	-0.877801858219344	0.866	0.853	1.94460480737949e-130	"0"	"Uqcr11"
"Ccl6"	1.67136608093339e-130	-0.610895001625763	0.475	0.161	3.34273216186678e-127	"0"	"Ccl6"
"Arhgdib"	4.96747116593469e-128	-0.595555807800883	0.345	0.409	9.93494233186937e-125	"0"	"Arhgdib"
"Uqcr10"	2.65723163911833e-120	-0.930563741793696	0.815	0.809	5.31446327823666e-117	"0"	"Uqcr10"
"Fcer1g"	3.34944081372327e-118	-0.778450808197086	0.447	0.164	6.69888162744654e-115	"0"	"Fcer1g"
"Pi16"	6.68817701376635e-116	-0.786562374331987	0.858	0.558	1.33763540275327e-112	"0"	"Pi16"
"Acta1"	1.29967664065642e-114	-2.62139672866931	0.953	0.936	2.59935328131284e-111	"0"	"Acta1"
"Mef2c"	4.98507988595518e-110	-0.870687484508129	0.488	0.559	9.97015977191036e-107	"0"	"Mef2c"
"Atp5j2"	3.07688955589168e-102	-0.746205465188877	0.909	0.878	6.15377911178337e-99	"0"	"Atp5j2"
"Angptl7"	3.59026431090458e-102	-0.812991297878089	0.627	0.308	7.18052862180917e-99	"0"	"Angptl7"
"Uqcrq"	7.05934667460346e-101	-1.01475079867071	0.806	0.784	1.41186933492069e-97	"0"	"Uqcrq"
"Sema3c"	5.91343575986412e-97	-0.737185914150231	0.374	0.407	1.18268715197282e-93	"0"	"Sema3c"
